trade_num,date,target_value,pnl,cumsum_pnl,pnl_decimal,portfolio_value,compound_return_pct,actual_profitable,hit_rate_cumulative,drawdown,drawdown_pct
1804,2023-07-28 16:50:00,0.2753,-0.2753,23.183800000000026,-0.002753,124.60064536295535,24.600645362955348,1,0.49223946784922396,-11.984499999999997,-34.077564170005346
1805,2023-07-31 16:50:00,0.1946,-0.1946,22.989200000000025,-0.001946,124.35817250707903,24.358172507079033,1,0.4925207756232687,-12.179099999999998,-34.630903398799454
1806,2023-08-02 16:50:00,-0.0863,0.0863,23.075500000000027,0.000863,124.46549360995265,24.465493609952645,0,0.49224806201550386,-12.092799999999997,-34.38551195252539
1807,2023-08-03 16:50:00,-0.0474,0.0474,23.122900000000026,0.000474,124.52449025392377,24.524490253923773,0,0.49197565024903156,-12.045399999999997,-34.250731482613574
1808,2023-08-04 16:50:00,0.2056,-0.2056,22.917300000000026,-0.002056,124.26846790196171,24.268467901961714,1,0.4922566371681416,-12.250999999999998,-34.835348879530684
1809,2023-08-07 16:50:00,0.1911,-0.1911,22.726200000000027,-0.001911,124.03099085980107,24.030990859801065,1,0.4925373134328358,-12.442099999999996,-35.37873596392202
1810,2023-08-08 16:50:00,-0.2263,0.2263,22.952500000000025,0.002263,124.31167299211678,24.311672992116783,0,0.4922651933701657,-12.215799999999998,-34.735258741537095
1811,2023-08-11 16:50:00,0.0634,-0.0634,22.889100000000024,-0.000634,124.23285939143977,24.232859391439774,1,0.49254555494202096,-12.2792,-34.91553472871873
1812,2023-08-14 16:50:00,0.0309,-0.0309,22.858200000000025,-0.00030900000000000003,124.19447143788781,24.194471437887813,1,0.4928256070640177,-12.310099999999998,-35.003397946446064
1813,2023-08-16 16:50:00,-0.0,0.0,22.858200000000025,0.0,124.19447143788781,24.194471437887813,0,0.49255377826806396,-12.310099999999998,-35.003397946446064
1814,2023-08-17 16:50:00,-0.1563,0.1563,23.014500000000027,0.001563,124.38858739674522,24.388587396745223,0,0.49228224917309815,-12.153799999999997,-34.558963612116564
1815,2023-08-18 16:50:00,-0.1043,0.1043,23.118800000000025,0.001043,124.51832469340002,24.518324693400018,0,0.4920110192837466,-12.049499999999998,-34.262389708913965
1816,2023-08-21 16:50:00,-0.0416,0.0416,23.160400000000024,0.000416,124.57012431647247,24.570124316472473,0,0.4917400881057269,-12.0079,-34.14410136401245
1817,2023-08-22 16:50:00,-0.1834,0.1834,23.343800000000023,0.0018340000000000001,124.79858592446887,24.798585924468867,0,0.4914694551458448,-11.8245,-33.62260899730721
1818,2023-08-24 16:50:00,0.1886,-0.1886,23.155200000000022,-0.0018859999999999999,124.56321579141532,24.563215791415317,1,0.49174917491749176,-12.013100000000001,-34.15888740712515
1819,2023-08-25 16:50:00,-0.0669,0.0669,23.222100000000022,0.000669,124.64654858277977,24.646548582779772,0,0.491478834524464,-11.946200000000001,-33.96865927554074
1820,2023-08-28 16:50:00,-0.2721,0.2721,23.49420000000002,0.002721,124.98571184147352,24.985711841473517,0,0.4912087912087912,-11.674100000000003,-33.19495113497097
1821,2023-08-29 16:50:00,0.0441,-0.0441,23.45010000000002,-0.000441,124.93059314255143,24.93059314255143,1,0.4914881933003844,-11.718200000000003,-33.320348154445895
1822,2023-08-30 16:50:00,-0.0812,0.0812,23.53130000000002,0.0008119999999999999,125.03203678418319,25.03203678418319,0,0.49121844127332603,-11.637000000000004,-33.08945840430159
1823,2023-08-31 16:50:00,0.0525,-0.0525,23.47880000000002,-0.000525,124.9663949648715,24.966394964871498,1,0.49149753154141523,-11.689500000000002,-33.23874057034316
1824,2023-09-01 16:50:00,-0.2526,0.2526,23.731400000000022,0.002526,125.28206007855276,25.28206007855276,0,0.49122807017543857,-11.436900000000001,-32.520480091445975
1825,2023-09-05 16:50:00,-0.0068,0.0068,23.73820000000002,6.8e-05,125.29057925863809,25.29057925863809,0,0.49095890410958903,-11.430100000000003,-32.5011444966063
1826,2023-09-06 16:50:00,-0.1322,0.1322,23.87040000000002,0.001322,125.45621340441801,25.45621340441801,0,0.49069003285870755,-11.297900000000002,-32.125237785164465
1827,2023-09-07 16:50:00,-0.2521,0.2521,24.12250000000002,0.002521,125.77248851841054,25.77248851841054,0,0.4904214559386973,-11.045800000000003,-31.408399041181962
1828,2023-09-08 16:50:00,-0.2025,0.2025,24.32500000000002,0.0020250000000000003,126.02717780766031,26.02717780766031,0,0.49015317286652077,-10.843300000000003,-30.83259640073588
