date,prediction,probability,actual_profitable,target_value,target_value_normalized,test_end_idx,Ret_0-1hr_value,Ret_4-8hr_value
2013-11-04 09:55:00,0,0.6,1,0.213,0.213,2550,-0.142,0.014
2013-11-05 09:55:00,0,0.225,1,0.271,0.271,2550,-0.171,-0.326
2013-11-06 09:55:00,1,0.93,0,-0.099,-0.099,2550,0.241,0.142
2013-11-07 09:55:00,0,0.24,0,-1.245,-1.245,2550,-0.282,-0.085
2013-11-08 09:55:00,1,0.845,1,1.304,1.304,2550,0.143,0.1
2013-11-11 09:55:00,1,0.87,0,-0.071,-0.071,2550,0.127,0.156
2013-11-12 09:55:00,0,0.51,0,-0.085,-0.085,2550,0.17,-0.226
2013-11-13 09:55:00,1,0.94,1,0.951,0.951,2550,0.342,0.114
2013-11-14 09:55:00,1,0.835,1,0.407,0.407,2550,-0.028,0.014
2013-11-15 09:55:00,1,0.84,1,0.265,0.265,2550,-0.042,0.098
2013-11-18 09:55:00,0,0.48,0,-0.237,-0.237,2550,-0.195,0.126
2013-11-19 09:55:00,0,0.52,0,-0.196,-0.196,2550,0.056,-0.223
2013-11-20 09:55:00,1,0.725,0,-0.503,-0.503,2550,-0.056,-0.084
2013-11-21 09:55:00,1,0.98,1,0.322,0.322,2550,0.266,0.352
2013-11-22 09:55:00,1,0.745,1,0.418,0.418,2550,0.028,-0.056
2013-11-25 09:55:00,0,0.485,0,-0.111,-0.111,2550,-0.194,0.069
2013-11-26 09:55:00,1,0.735,0,-0.028,-0.028,2650,0.0,-0.18
2013-11-27 09:55:00,1,0.87,0,0.0,0.0,2650,0.111,0.083
2013-11-28 09:55:00,1,0.85,0,-0.014,-0.014,2650,-0.055,0.152
2013-11-29 09:55:00,1,0.845,0,-0.262,-0.262,2650,0.124,0.0
2013-12-02 09:55:00,1,0.68,0,-0.153,-0.153,2650,-0.111,-0.083
2013-12-03 09:55:00,0,0.61,0,-0.209,-0.209,2650,0.209,-0.222
2013-12-04 09:55:00,1,0.76,1,0.21,0.21,2650,0.014,-0.056
2013-12-05 09:55:00,1,0.845,0,-0.21,-0.21,2650,-0.056,0.07
2013-12-06 09:55:00,1,0.865,1,0.208,0.208,2650,-0.042,0.14
2013-12-09 09:55:00,1,0.77,0,-0.138,-0.138,2650,0.18,-0.097
2013-12-10 09:55:00,1,0.845,0,-0.18,-0.18,2650,0.139,-0.014
2013-12-11 09:55:00,0,0.255,0,-0.918,-0.918,2650,-0.333,-0.014
2013-12-12 09:55:00,0,0.285,0,-0.155,-0.155,2650,-0.266,0.113
2013-12-13 09:55:00,0,0.31,1,0.028,0.028,2650,-0.226,0.099
2013-12-16 09:55:00,1,1.0,0,-0.266,-0.266,2650,0.394,0.852
2013-12-17 09:55:00,0,0.28,0,-0.197,-0.197,2650,-0.211,0.0
2013-12-18 09:55:00,1,0.87,1,1.576,1.576,2650,0.028,0.098
2013-12-19 09:55:00,1,0.91,1,0.181,0.181,2650,0.223,0.139
2013-12-20 09:55:00,1,0.945,1,0.124,0.124,2650,0.291,-0.014
2013-12-23 09:55:00,0,0.31,1,0.165,0.165,2650,-0.219,0.124
2013-12-24 09:55:00,1,0.865,1,0.425,0.425,2650,0.041,0.055
2013-12-26 09:55:00,1,0.865,1,0.273,0.273,2650,-0.082,0.302
2013-12-27 09:55:00,1,0.745,0,-0.109,-0.109,2650,0.041,-0.123
2013-12-30 09:55:00,1,0.835,1,0.041,0.041,2650,-0.082,0.068
2013-12-31 09:55:00,1,0.85,1,0.218,0.218,2650,0.027,0.041
2014-01-02 09:55:00,0,0.37,0,-0.355,-0.355,2650,-0.204,0.258
